"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img_url","Answer.Answer_1","Answer.Answer_2","Answer.Answer_3","Answer.Answer_4","Approve","Reject"
"3R15W654VDAOLK91QL1FHV4NHOCQL3","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3HHRAGRYX9NSMQT6CDBNC1EAHG19O2","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:23:06 PDT 2016","Tue Jul 05 13:24:29 PDT 2016","Tue Jul 05 21:24:29 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","83","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/31000_31783/8118985445.jpg","1","0","0",""
"3R15W654VDAOLK91QL1FHV4NHOCQL3","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3QHK8ZVMIN034Y56X59RBQ56ABZLB7","A3N8C7XN2ZIEY2","Approved","Tue Jul 05 13:23:46 PDT 2016","Tue Jul 05 13:24:04 PDT 2016","Tue Jul 05 21:24:04 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","18","100% (28/28)","100% (28/28)","100% (28/28)","http://s3.amazonaws.com/caption-scene/upload_batches/31000_31783/8118985445.jpg","1","0","0",""
"3R15W654VDAOLK91QL1FHV4NHOCQL3","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3U5NZHP4LSK3MWNQPPCUEIHOAY6HPI","A29NA4283YJ26D","Approved","Tue Jul 05 13:24:54 PDT 2016","Tue Jul 05 13:25:02 PDT 2016","Tue Jul 05 21:25:02 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","8","100% (62/62)","100% (62/62)","100% (58/58)","http://s3.amazonaws.com/caption-scene/upload_batches/31000_31783/8118985445.jpg","1","0","0",""
"3IJ95K7NDXTNWVI8Z2CI094AGW2NG6","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","30H4UDGLT30PEAO1GMS76NPKRKDPM7","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:35:51 PDT 2016","Tue Jul 05 13:36:18 PDT 2016","Tue Jul 05 21:36:18 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","27","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4703345907.jpg","1","0","0",""
"3IJ95K7NDXTNWVI8Z2CI094AGW2NG6","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3TU5ZICBREJVTXNCMYXD1AEZCB38QM","AHN71C7F6T6RK","Approved","Tue Jul 05 13:26:52 PDT 2016","Tue Jul 05 13:27:19 PDT 2016","Tue Jul 05 21:27:19 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","27","100% (5/5)","100% (5/5)","100% (5/5)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4703345907.jpg","1","0","2",""
"3IJ95K7NDXTNWVI8Z2CI094AGW2NG6","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:02 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:02 PDT 2016","","","3Z7VU45IPZZMWP4IA97BDT3V38IZ1N","A610SH5RY1NG1","Approved","Tue Jul 05 13:27:21 PDT 2016","Tue Jul 05 13:27:28 PDT 2016","Tue Jul 05 21:27:28 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","7","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4703345907.jpg","1","0","0",""
"3KLL7H3EGDIE4WMSLZGRVQAOHZHVHU","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","31IBVUNM9THWDKTGGBXTHPUTG7RVFG","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:21:16 PDT 2016","Tue Jul 05 13:22:13 PDT 2016","Tue Jul 05 21:22:13 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","57","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/0_1000/1121416483.jpg","0","0","3",""
"3KLL7H3EGDIE4WMSLZGRVQAOHZHVHU","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3NXNZ5RS1BFL1K17VRUL1FSFRRW79F","A1MJECBV45AP5O","Approved","Tue Jul 05 13:29:54 PDT 2016","Tue Jul 05 13:31:31 PDT 2016","Tue Jul 05 21:31:31 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","97","100% (26/26)","100% (26/26)","100% (26/26)","http://s3.amazonaws.com/caption-scene/upload_batches/0_1000/1121416483.jpg","0","0","3",""
"3KLL7H3EGDIE4WMSLZGRVQAOHZHVHU","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3X3OR7WPZ0IK207ZUTPHKOF525K8L1","A610SH5RY1NG1","Approved","Tue Jul 05 13:31:51 PDT 2016","Tue Jul 05 13:32:00 PDT 2016","Tue Jul 05 21:32:00 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","9","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/0_1000/1121416483.jpg","0","0","2",""
"3THR0FZ95PAL08WLB89BSQ9N2NULOQ","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","34S9DKFK747P5612JA3QWT7W0FNNYW","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:31:36 PDT 2016","Tue Jul 05 13:31:57 PDT 2016","Tue Jul 05 21:31:57 PDT 2016","Tue Jul 05 13:52:48 PDT 2016","","","21","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/17000_18000/3795581431.jpg","1","0","5",""
"3THR0FZ95PAL08WLB89BSQ9N2NULOQ","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","354P56DE9LL36ZX64XUCIAX5JFG7SL","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:24:09 PDT 2016","Tue Jul 05 13:24:22 PDT 2016","Tue Jul 05 21:24:22 PDT 2016","Tue Jul 05 13:52:48 PDT 2016","","","13","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/17000_18000/3795581431.jpg","1","1","","4"
"3THR0FZ95PAL08WLB89BSQ9N2NULOQ","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","37KGEN7NJ48VZDLE82KZNRJFWPMPP1","A610SH5RY1NG1","Approved","Tue Jul 05 13:33:27 PDT 2016","Tue Jul 05 13:33:35 PDT 2016","Tue Jul 05 21:33:35 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","8","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/17000_18000/3795581431.jpg","1","0","3",""
"3MYASTQBG7S5N8L9D43RYIWI8FADQA","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3CN4LGXD5Y63JYRW15OUXK1W9YR4YH","A29NA4283YJ26D","Approved","Tue Jul 05 13:30:07 PDT 2016","Tue Jul 05 13:30:25 PDT 2016","Tue Jul 05 21:30:25 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","18","100% (62/62)","100% (62/62)","100% (58/58)","http://s3.amazonaws.com/caption-scene/upload_batches/9000_10000/287641817.jpg","1","0","1",""
"3MYASTQBG7S5N8L9D43RYIWI8FADQA","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3HSYG7LRBKGTDVRIIIAJVTBH858KKS","A610SH5RY1NG1","Approved","Tue Jul 05 13:29:56 PDT 2016","Tue Jul 05 13:30:03 PDT 2016","Tue Jul 05 21:30:03 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","7","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/9000_10000/287641817.jpg","1","0","3",""
"3MYASTQBG7S5N8L9D43RYIWI8FADQA","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3LYA37P8IR5SKSNOC5XQWQSRLBTBKT","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:21:32 PDT 2016","Tue Jul 05 13:21:37 PDT 2016","Tue Jul 05 21:21:37 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","5","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/9000_10000/287641817.jpg","1","0","0",""
"3MA5N0ATTCSILBN5HUOKUK9UGPNKWX","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","33FOTY3KEN39OWT8IVN32V2AUQS1CM","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:20:31 PDT 2016","Tue Jul 05 13:21:21 PDT 2016","Tue Jul 05 21:21:21 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","50","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/24000_25000/4886651712.jpg","0","0","2",""
"3MA5N0ATTCSILBN5HUOKUK9UGPNKWX","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3LJ7UR74RIV97ZNIU3FJG43P5EGN43","A29NA4283YJ26D","Approved","Tue Jul 05 13:21:01 PDT 2016","Tue Jul 05 13:21:25 PDT 2016","Tue Jul 05 21:21:25 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","24","100% (62/62)","100% (62/62)","100% (58/58)","http://s3.amazonaws.com/caption-scene/upload_batches/24000_25000/4886651712.jpg","0","0","2",""
"3MA5N0ATTCSILBN5HUOKUK9UGPNKWX","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3ON104KXQLEZUTWWM466CNGGYQM4WD","A28GJDYQQ6KGEO","Approved","Tue Jul 05 13:23:23 PDT 2016","Tue Jul 05 13:23:31 PDT 2016","Tue Jul 05 21:23:31 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","8","100% (95/95)","100% (95/95)","100% (95/95)","http://s3.amazonaws.com/caption-scene/upload_batches/24000_25000/4886651712.jpg","1","0","0",""
"3ABAOCJ4R8L8R2RMQX2UH8JCHT2QM5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3570Y55XZQ1JVEKGW6QV69YZZ33YG1","A610SH5RY1NG1","Approved","Tue Jul 05 13:35:06 PDT 2016","Tue Jul 05 13:35:13 PDT 2016","Tue Jul 05 21:35:13 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","7","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4987272376.jpg","1","0","0",""
"3ABAOCJ4R8L8R2RMQX2UH8JCHT2QM5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3UWN2HHPUZNS9KPTK4B1E7JVJURSNN","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:32:51 PDT 2016","Tue Jul 05 13:33:11 PDT 2016","Tue Jul 05 21:33:11 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","20","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4987272376.jpg","1","0","0",""
"3ABAOCJ4R8L8R2RMQX2UH8JCHT2QM5","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","3ZAZR5XV0206JSEGQ6WVUPMM75ECZV","A29NA4283YJ26D","Approved","Tue Jul 05 13:32:27 PDT 2016","Tue Jul 05 13:32:34 PDT 2016","Tue Jul 05 21:32:34 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","7","100% (62/62)","100% (62/62)","100% (58/58)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4987272376.jpg","1","0","0",""
"3VADEH0UHCEQPL3CAHJRTCS84MXSPR","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","39LOEL67OTN3MWHAONLHO2LO2JO38D","A610SH5RY1NG1","Approved","Tue Jul 05 13:23:38 PDT 2016","Tue Jul 05 13:23:49 PDT 2016","Tue Jul 05 21:23:49 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","11","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/2410906422.jpg","1","1","","1"
"3VADEH0UHCEQPL3CAHJRTCS84MXSPR","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3D4CH1LGEBB4UDC8OUYF7S58QU99GE","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:22:01 PDT 2016","Tue Jul 05 13:23:14 PDT 2016","Tue Jul 05 21:23:14 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","73","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/2410906422.jpg","1","0","5",""
"3VADEH0UHCEQPL3CAHJRTCS84MXSPR","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3HQUKB7LNGWB9FP26C4P59FXO70HHH","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:29:38 PDT 2016","Tue Jul 05 13:29:46 PDT 2016","Tue Jul 05 21:29:46 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","8","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/2410906422.jpg","1","0","5",""
"31ODACBENUWBPX4RAUYGTHII9IJSQI","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","34HJIJKLP6EMF4WRWU1AQLX2RHIV4S","A1T79J0XQXDDGC","Approved","Tue Jul 05 13:21:00 PDT 2016","Tue Jul 05 13:21:34 PDT 2016","Tue Jul 05 21:21:34 PDT 2016","Tue Jul 05 13:52:49 PDT 2016","","","34","100% (4/4)","100% (4/4)","100% (4/4)","http://s3.amazonaws.com/caption-scene/upload_batches/1000_2000/134867998.jpg","1","0","5",""
"31ODACBENUWBPX4RAUYGTHII9IJSQI","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3KGTPGBS6Y3CZBS4NQ8H1KYLTWFU28","A610SH5RY1NG1","Approved","Tue Jul 05 13:24:30 PDT 2016","Tue Jul 05 13:24:39 PDT 2016","Tue Jul 05 21:24:39 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","9","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/1000_2000/134867998.jpg","0","0","3",""
"31ODACBENUWBPX4RAUYGTHII9IJSQI","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3O6CYIULEEJYBRQB1AXOPREAX3MWU4","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:39:18 PDT 2016","Tue Jul 05 13:39:42 PDT 2016","Tue Jul 05 21:39:42 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","24","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/1000_2000/134867998.jpg","1","0","0",""
"3VO4XFFP153P6ZKZMR05YQMMM46Q7T","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3D8YOU6S9F20HCB5ASKKRXFX91F6UZ","A37WDOIQH6JM6V","Approved","Tue Jul 05 13:20:24 PDT 2016","Tue Jul 05 13:20:41 PDT 2016","Tue Jul 05 21:20:41 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","17","100% (148/148)","100% (148/148)","100% (19/19)","http://s3.amazonaws.com/caption-scene/upload_batches/29000_30000/6782818493.jpg","0","0","2",""
"3VO4XFFP153P6ZKZMR05YQMMM46Q7T","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3HFNH7HEMIWAMCTU5W91TNVX0UBQGF","A3UUH3632AI3ZX","Approved","Tue Jul 05 13:20:03 PDT 2016","Tue Jul 05 13:20:09 PDT 2016","Tue Jul 05 21:20:09 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","6","100% (570/570)","100% (548/548)","100% (88/88)","http://s3.amazonaws.com/caption-scene/upload_batches/29000_30000/6782818493.jpg","0","0","2",""
"3VO4XFFP153P6ZKZMR05YQMMM46Q7T","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3VA45EW49O5AXLQB80WUXVWRJ4AO15","A1T79J0XQXDDGC","Approved","Tue Jul 05 13:20:40 PDT 2016","Tue Jul 05 13:20:47 PDT 2016","Tue Jul 05 21:20:47 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","7","100% (4/4)","100% (4/4)","100% (4/4)","http://s3.amazonaws.com/caption-scene/upload_batches/29000_30000/6782818493.jpg","0","0","2",""
"3LN50BUKPVS3L88MQ8MQHQEDCSQLP7","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","37TD41K0AIR9IGS2VE2NYWPJKQ4SCW","A2OJ5XOEKTKRR9","Approved","Tue Jul 05 13:19:46 PDT 2016","Tue Jul 05 13:20:38 PDT 2016","Tue Jul 05 21:20:38 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","52","100% (444/445)","100% (439/439)","100% (212/212)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4707314246.jpg","1","0","0",""
"3LN50BUKPVS3L88MQ8MQHQEDCSQLP7","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3B3WTRP3DCKEFJ41PFDQ5OB7GB729R","A79QGFH9KEJAV","Approved","Tue Jul 05 13:26:07 PDT 2016","Tue Jul 05 13:26:15 PDT 2016","Tue Jul 05 21:26:15 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","8","100% (16/16)","100% (16/16)","100% (16/16)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4707314246.jpg","1","0","0",""
"3LN50BUKPVS3L88MQ8MQHQEDCSQLP7","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3QHK8ZVMIN034Y56X59RBQ56ABYLB6","A1MJECBV45AP5O","Approved","Tue Jul 05 13:22:43 PDT 2016","Tue Jul 05 13:22:53 PDT 2016","Tue Jul 05 21:22:53 PDT 2016","Tue Jul 05 13:52:50 PDT 2016","","","10","100% (26/26)","100% (26/26)","100% (26/26)","http://s3.amazonaws.com/caption-scene/upload_batches/22000_23000/4707314246.jpg","1","0","0",""
"3KVQ0UJWPX2F3S22A7KESVQCJZTW5P","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3KOPY89HM9KS6DDTFRI8DSU2IUI3JX","A79QGFH9KEJAV","Approved","Tue Jul 05 13:23:55 PDT 2016","Tue Jul 05 13:24:12 PDT 2016","Tue Jul 05 21:24:12 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","17","100% (16/16)","100% (16/16)","100% (16/16)","http://s3.amazonaws.com/caption-scene/upload_batches/17000_18000/3801309708.jpg","1","0","2",""
"3KVQ0UJWPX2F3S22A7KESVQCJZTW5P","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3LBXNTKX0SDFGZ7YD4YJVE53TK6X9V","A37WDOIQH6JM6V","Approved","Tue Jul 05 13:24:37 PDT 2016","Tue Jul 05 13:25:08 PDT 2016","Tue Jul 05 21:25:08 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","31","100% (148/148)","100% (148/148)","100% (19/19)","http://s3.amazonaws.com/caption-scene/upload_batches/17000_18000/3801309708.jpg","1","0","2",""
"3KVQ0UJWPX2F3S22A7KESVQCJZTW5P","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:16 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:16 PDT 2016","","","3TPWUS5F8AJ2PX9BFJCOVLS4Q34CWZ","A2HTN7HCNBQ8V4","Approved","Tue Jul 05 13:25:01 PDT 2016","Tue Jul 05 13:25:16 PDT 2016","Tue Jul 05 21:25:16 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","15","100% (28/28)","100% (28/28)","100% (15/15)","http://s3.amazonaws.com/caption-scene/upload_batches/17000_18000/3801309708.jpg","1","0","2",""
"3IV1AEQ4DRUCKQL51682FP6VJTLJ8J","31IV7WI13C3HWUGW904VC89GWVC5H2","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 13:17:03 PDT 2016","3","BatchId:2453811;","600","28800","Tue Jul 12 13:17:03 PDT 2016","","","33PPUNGG39NAPU3Z83MQJKL876IZRP","A610SH5RY1NG1","Approved","Tue Jul 05 13:34:21 PDT 2016","Tue Jul 05 13:34:29 PDT 2016","Tue Jul 05 21:34:29 PDT 2016","Tue Jul 05 13:52:51 PDT 2016","","","8","100% (484/485)","100% (484/485)","100% (213/213)","http://s3.amazonaws.com/caption-scene/upload_batches/11000_12000/3132832452.jpg","0","0","3",""
